10000;Giorgia Scartifield;Engenharia Informática;16.1
10001;Amalie Tasker;Gestão;11.9
10002;Franky Manach;Engenharia Informática;19.8
10003;Kennett Doey;Gestão;12.8
10004;Lindy Sprouls;Enfermagem;13.3
10005;Ramon Smorthwaite;Tecnologias e Programação de Sistemas de Informação;12.6
10006;Juliette Snelson;Tecnologias e Programação de Sistemas de Informação;13.4
10007;Anya Lawson;Enfermagem;12.5
10008;Allx Warrick;Engenharia Informática;5.2
10009;Tyler Symondson;Design de Animação;18.3
10010;Gallard Stoute;Tecnologias e Programação de Sistemas de Informação;19.7
10011;Wiatt Linscott;Engenharia Informática;8.3
10012;Thaine Weeks;Enfermagem;9.7
10013;Megen Doull;Enfermagem;13.1
10014;Ibby Tomkies;Gestão;5.2
10015;Dawn Stopps;Engenharia Informática;9.1
10016;Lara Thomsen;Tecnologias e Programação de Sistemas de Informação;8.5
10017;Cornie Conklin;Programação Ágil e Segurança de Sistemas de Informação;19.6
10018;Gherardo Casolla;Gestão;7.7
10019;Marla Kalderon;Enfermagem;19.6
10020;Krispin Herrieven;Enfermagem;12.7
10021;Cecil Ales;Engenharia Informática;15.3
10022;Michal Crafts;Engenharia Informática;18.8
10023;Jorie Ewence;Engenharia Informática;6.5
10024;Andromache Kaplan;Tecnologias e Programação de Sistemas de Informação;18.8
10025;Danita Trasler;Enfermagem;5.4
10026;Augustina Innett;Tecnologias e Programação de Sistemas de Informação;17.8
10027;Nathanial Landy;Design de Animação;17.0
10028;Roxana Tibbotts;Tecnologias e Programação de Sistemas de Informação;12.8
10029;Katha Reef;Gestão;9.7
10030;Giulio Hessle;Gestão;11.9
10031;Babbie Epgrave;Tecnologias e Programação de Sistemas de Informação;14.2
10032;Tonnie Henri;Enfermagem;18.8
10033;Cordelia Cutress;Programação Ágil e Segurança de Sistemas de Informação;11.8
10034;Spike Tart;Engenharia Informática;6.9
10035;Laurene Soloway;Engenharia Informática;7.2
10036;Sadie Haddinton;Design de Animação;8.4
10037;Lesya Biddulph;Design de Animação;10.8
10038;Alfreda McPhilip;Design de Animação;19.7
10039;Merola Kobisch;Programação Ágil e Segurança de Sistemas de Informação;16.4
10040;Merrile Talks;Design de Animação;10.9
10041;Elena Harnett;Tecnologias e Programação de Sistemas de Informação;8.5
10042;Bartolemo Pinnick;Programação Ágil e Segurança de Sistemas de Informação;9.6
10043;Shaine Samter;Gestão;5.8
10044;Elsy Peplow;Gestão;8.0
10045;Falkner Youtead;Enfermagem;16.8
10046;Adrianna Wayvill;Engenharia Informática;14.4
10047;Arly Cromly;Engenharia Informática;18.4
10048;Bertine MacPaik;Design de Animação;11.9
10049;Seka Breitler;Engenharia Informática;18.7
10050;Tanner Guilbert;Engenharia Informática;6.5
10051;Terese Liddington;Programação Ágil e Segurança de Sistemas de Informação;11.9
10052;Si Count;Engenharia Informática;7.8
10053;Tish Simmig;Design de Animação;11.5
10054;Jocelin Chaman;Enfermagem;19.4
10055;Wang Collingham;Tecnologias e Programação de Sistemas de Informação;9.4
10056;Creigh Battill;Tecnologias e Programação de Sistemas de Informação;20.0
10057;Skylar Ianson;Engenharia Informática;12.3
10058;Feodora Loxly;Programação Ágil e Segurança de Sistemas de Informação;16.6
10059;Murray Powton;Engenharia Informática;5.5
10060;Broderick Keast;Gestão;5.7
10061;Patrick Bowmer;Design de Animação;5.4
10062;Katrinka Hymas;Gestão;17.5
10063;Stephine Wollaston;Design de Animação;9.8
10064;Aluin Elvey;Enfermagem;19.5
10065;Hermie McVie;Design de Animação;8.9
10066;Freddie McGarahan;Engenharia Informática;14.5
10067;Merrel Krugmann;Enfermagem;10.5
10068;Gregoor Pinches;Programação Ágil e Segurança de Sistemas de Informação;7.3
10069;Goddard Ewbanche;Tecnologias e Programação de Sistemas de Informação;18.6
10070;Raynard Heinsh;Enfermagem;6.6
10071;Jessamine McCraine;Tecnologias e Programação de Sistemas de Informação;19.8
10072;Deeann Cholonin;Gestão;18.8
10073;Kristal Poulsum;Enfermagem;14.5
10074;Roldan Skottle;Gestão;15.4
10075;Katherina Maryman;Design de Animação;19.3
10076;Joelie Gossipin;Programação Ágil e Segurança de Sistemas de Informação;18.0
10077;Hadleigh Loble;Engenharia Informática;9.0
10078;Anatol Haggarth;Programação Ágil e Segurança de Sistemas de Informação;16.1
10079;Somerset Emmanuel;Enfermagem;8.7
10080;Kandace Powe;Tecnologias e Programação de Sistemas de Informação;7.8
10081;Kippy MacNeilage;Gestão;8.1
10082;Uriel Pesek;Programação Ágil e Segurança de Sistemas de Informação;15.4
10083;Sandro Roo;Tecnologias e Programação de Sistemas de Informação;18.0
10084;Midge Carnegie;Tecnologias e Programação de Sistemas de Informação;5.5
10085;Mathias Klagges;Enfermagem;11.8
10086;Kary Louch;Engenharia Informática;13.6
10087;Merrielle Kondratowicz;Enfermagem;9.5
10088;Ellis Parradine;Enfermagem;18.5
10089;Mommy Roseblade;Tecnologias e Programação de Sistemas de Informação;10.4
10090;Janeta Ambrogetti;Engenharia Informática;19.5
10091;Robinson Solesbury;Enfermagem;14.5
10092;Gare Hayer;Enfermagem;10.1
10093;Lena Polglaze;Enfermagem;18.8
10094;Elna Kynett;Engenharia Informática;8.7
10095;Sibilla Goodge;Enfermagem;12.7
10096;Ebony Ballaam;Programação Ágil e Segurança de Sistemas de Informação;9.2
10097;Marcelline Last;Enfermagem;8.7
10098;Griffin Janicki;Programação Ágil e Segurança de Sistemas de Informação;11.9
10099;Mikkel Hutson;Programação Ágil e Segurança de Sistemas de Informação;11.7
1;Joao;ei;19.0
